video_id,exercise_id,exercise_name,equipment,youtube_link
161,71,Inverted Row: Feet Elevated,body weight,https://youtu.be/IrIYsh0dBt4?si=pmdEZPNL6pQpUK2G
163,71,Inverted Row: Feet Elevated,suspension,https://youtu.be/7GYfJuoEsbQ?si=5Wp7KiUGm9M5SlO2
165,73,Gripless Shrug,barbell,https://youtu.be/pqYr_lb04O4?si=EW8GEPaZhErSRQCM
167,73,Gripless Shrug,lever,https://youtu.be/fUmJKuglXPc?si=OmF4Qh_fCG0V8v0g
169,75,Reverse Calf Extension,lever,https://youtu.be/yQeLdSFBCEM?si=bwCkwWbDCxA-FKCj
171,77,Inverted Shrug,body weight,https://youtu.be/hXvtd9tOGzc?si=OtKu8PbR6-cVjRgY
173,77,Inverted Shrug,suspension,https://youtu.be/3RObPKePcic?si=OBD4y2qOvSJ32s9O
175,79,Seated Low Row,cable,https://youtu.be/GZbfZ033f74?si=YxwzHcw3ytrABqI1
177,79,Seated Low Row,lever,https://youtu.be/VZjTJr5ImBg?si=VX6_ZUB8uGVWU23m
179,81,Presses: Chest Press,lever,https://youtu.be/-YiqDRTu8ag?si=k-LdFyYTSYw44s6J
181,81,Presses: Chest Press,barbell,https://youtu.be/rT7DgCr-3pg?si=XO6u0lNgx3xipM4F
183,81,Presses: Chest Press,dumbbell,https://youtu.be/VmB1G1K7v94?si=43m80_OHJs1lmF3f
185,83,Chinup,assisted machine,https://youtu.be/8zFcJWD9Y_E?si=FmkM9MecBNS8jeby
187,83,Chinup,body weight,https://youtu.be/T78xCiw_R6g?si=gA7tOQrapssPcm1C
189,83,Chinup,body weight (weighted),https://youtu.be/bZ6Ysk9jf6E?si=9o7Na4mp0WBHWe-d
191,85,Underhand Seated Row,cable,https://youtu.be/Uj19fFUMbIs?si=LFhXu0XTfj4tMEZi
193,85,Underhand Seated Row,lever,
195,87,Push-Up,body weight (weighted),https://youtu.be/Vq1O0aDZODI?si=tdeBA_FYZaNpQ8xq
197,87,Push-Up,body weight,https://youtube.com/shorts/ba8tr1NzwXU?si=ik_5PGxU5h0iWlYq
199,89,Lunges,dumbbell,https://youtu.be/Pt5ThtTfn_U?si=FyRBCRm6D53_JGGW
201,89,Lunges,barbell,https://youtu.be/ci4rsmlOk24?si=WR9VRLOwbitDYYRN
203,89,Lunges,body weight,https://youtu.be/wrwwXE_x-pQ?si=qGK68dg-fQT6BjyO
205,91,Incline Chest Press: On Military Press Machine,lever,https://youtu.be/ig0NyNlSce4?si=-oKqBio7oSw4sgUr
207,93,Archer Pull-Up,body weight (weighted),
209,93,Archer Pull-Up,body weight,https://youtu.be/Z7GdTkOEe5Y?si=ihwcZDQRxymsGbHN
211,95,Pull-Up (Open-Centered Bar),body weight (weighted),https://youtu.be/-27Ofi_wMFc?si=nMAUOUn6hFMj9TEB
213,95,Pull-Up (Open-Centered Bar),body weight,https://youtu.be/XWt6FQAK5wM?si=UXnlCGS6ob7-Ofuq
215,97,Presses: Chest Press Standing,cable,https://youtu.be/H1xkzPbvqDU?si=A3qY70fWezzExdVX
217,97,Presses: Chest Press Standing,dumbbell,https://youtu.be/NUVo0XDd4oc?si=DA3x1gflJNw35-PO
